id,postcode,latitude,longitude
1,AB10 1XG,57.144156,-2.114864
2,AB10 6RN,57.137871,-2.121487
3,AB10 7JB,57.124274,-2.127206
4,AB11 5QN,57.142701,-2.093295
5,AB11 6UL,57.137468,-2.112455
6,AB11 8RQ,57.135968,-2.072115
7,AB12 3FJ,57.097987,-2.077447
8,AB12 4NA,57.064273,-2.130018
9,AB12 5GL,57.081938,-2.246567
10,AB12 9SP,57.148707,-2.097806
11,AB14 0TQ,57.101557,-2.268502
12,AB15 5HB,57.147419,-2.147266
13,AB15 6NA,57.151538,-57.153997
15,AB15 8UF,57.153997,-2.224402
16,AB15 9SE,57.118665,-2.174201
17,AB16 5ST,57.163466,-2.15935
18,AB16 6SZ,57.158742,-2.165215
19,AB16 7NX,57.168438,-2.161636
20,AB21 0AL,57.263206,-2.15899
21,AB21 0TF,57.221877,-2.273372
22,AB21 7LD,57.212136,-2.185602
23,AB21 7LE,57.211762,-2.182504
24,AB21 7LF,57.203429,-2.173905
25,AB21 7LG,57.210955,-2.181904
26,AB21 7LH,57.210256,-2.180924
27,AB21 7LJ,57.210353,-2.181967
28,AB21 7LL,57.212451,-2.184957
29,AB21 7LN,57.210315,-2.183374
30,AB21 7LP,57.209893,-2.182908
31,AB21 7LQ,57.209272,-2.183832
32,AB21 7LR,57.208904,-2.184062
33,AB21 7LS,57.208875,-2.184906
34,AB21 7LT,57.209069,-2.181795
35,AB21 7LU,57.208888,-2.182158
36,AB21 7LW,57.204759,-2.176268
37,AB21 7LX,57.210076,-2.180592
38,AB21 7LY,57.210186,-2.179301
39,AB21 7LZ,57.209431,-2.179297
40,AB21 7NA,57.209443,-2.177841
41,AB21 7NB,57.20886,-2.176696
42,AB21 7ND,57.208698,-2.177274
43,AB21 7NE,57.20905,-2.176067
44,AB21 7NF,57.20529,-2.175559
45,AB21 7NG,57.204372,-2.176128
46,AB21 7NH,57.207561,-2.174273
47,AB21 7NJ,57.20852,-2.175949
48,AB21 7NP,57.207443,-2.175067
49,AB21 7NQ,57.206714,-2.176338
50,AB21 7NR,57.207378,-2.176655
51,AB21 7NS,57.207727,-2.177418
52,AB21 7NX,57.234409,-2.187884
53,AB21 7NY,57.227939,-2.170957
54,AB21 7PB,57.196572,-2.182743
55,AB21 7PE,57.243972,-2.165596
56,AB21 7PH,57.250039,-2.162508
57,AB21 7PP,57.260371,-2.176947
58,AB21 7PQ,57.253354,-2.18203
59,AB21 7PR,57.256942,-2.181323
60,AB21 7PS,57.250681,-2.191281
61,AB21 7PU,57.248606,-2.175018
62,AB21 7PW,57.255804,-2.172997
63,AB21 7PY,57.255583,-2.195256
64,AB21 7PZ,57.260686,-2.200571
65,AB21 7QQ,57.199803,-2.190902
66,AB21 7UU,57.239418,-2.190245
69,AB21 7XA,57.225777,-2.161656
70,AB21 7XB,57.237611,-2.161846
74,AB21 9AB,57.189905,-2.170814
75,AB21 9AD,57.177536,-2.170923
